hatespeech;counterspeech;target
Our country wants to shut up those who speak against islam, but it isn't right, they are the only ones who expose themselves.;Right wing is earning popularity by blaming Muslims for crimes, but it does not mean that it is actually true.;facts
There are persons being banned for condemning Islam and his beliefs, terrorism and rape gangs. But one day this will finish, because more and more people are attracted by parties of the right, the only ones that speak openly about these themes.;Right wing is earning popularity by blaming Muslims for crimes, but it does not mean that it is actually true.;facts
People who criticize Islam and its traits in our country - rape gangs and terrorism - are being banned, but this will not end well. People are driven to the right - the only ones who can openly talk about it!;Hatred cannot be openly discussed and must be countered.;denouncing
Our country wants to shut up those who speak against islam, but it isn't right, they are the only ones who expose themselves.;Hatred cannot be openly discussed and must be countered.;denouncing
There are persons being banned for condemning Islam and his beliefs, terrorism and rape gangs. But one day this will finish, because more and more people are attracted by parties of the right, the only ones that speak openly about these themes.;Hatred cannot be openly discussed and must be countered.;denouncing
People who criticize Islam and its traits in our country - rape gangs and terrorism - are being banned, but this will not end well. People are driven to the right - the only ones who can openly talk about it!;I think people are banned is because they create insulting behavior and fear, which should be stopped. Besides, the majority of Muslims who follow Islam are kind people. Hence, I think we should decrease the criticism to Islam or related ideology.;facts
Our country wants to shut up those who speak against islam, but it isn't right, they are the only ones who expose themselves.;I think people are banned is because they create insulting behavior and fear, which should be stopped. Besides, the majority of Muslims who follow Islam are kind people. Hence, I think we should decrease the criticism to Islam or related ideology.;facts
There are persons being banned for condemning Islam and his beliefs, terrorism and rape gangs. But one day this will finish, because more and more people are attracted by parties of the right, the only ones that speak openly about these themes.;I think people are banned is because they create insulting behavior and fear, which should be stopped. Besides, the majority of Muslims who follow Islam are kind people. Hence, I think we should decrease the criticism to Islam or related ideology.;facts
People who criticize Islam and its traits in our country - rape gangs and terrorism - are being banned, but this will not end well. People are driven to the right - the only ones who can openly talk about it!;It is true that people are driven to the right, and the right promote this view. But I did not hear about any people being banned for criticism. Rapism and terrorism are discussed in our society and Muslim society and no one makes anyone silent.;facts
Our country wants to shut up those who speak against islam, but it isn't right, they are the only ones who expose themselves.;It is true that people are driven to the right, and the right promote this view. But I did not hear about any people being banned for criticism. Rapism and terrorism are discussed in our society and Muslim society and no one makes anyone silent.;facts
There are persons being banned for condemning Islam and his beliefs, terrorism and rape gangs. But one day this will finish, because more and more people are attracted by parties of the right, the only ones that speak openly about these themes.;It is true that people are driven to the right, and the right promote this view. But I did not hear about any people being banned for criticism. Rapism and terrorism are discussed in our society and Muslim society and no one makes anyone silent.;facts
This is our import for the last 30 years: muslim rapists, halal, corruption, terrorism, polygamy, sharia. Why are we doing this?;That is not true. Most of immigrants, inculding Muslims, in UK contribut themselves more than and receive less than they should.;facts
When we welcome Muslims in our country we welcome paedophiles, rapists, halal, corruption, terrorism, polygamy, sharia.;That is not true. Most of immigrants, inculding Muslims, in UK contribut themselves more than and receive less than they should.;facts
It is incredible what we did in these years. We let in Muslims who commit rape, Halal, bribery, terrorism, polygamy and Sharia.;That is not true. Most of immigrants, inculding Muslims, in UK contribut themselves more than and receive less than they should.;facts
This is our import for the last 30 years: muslim rapists, halal, corruption, terrorism, polygamy, sharia. Why are we doing this?;This is not true. How can you say this about an entire faith?;denouncing
When we welcome Muslims in our country we welcome paedophiles, rapists, halal, corruption, terrorism, polygamy, sharia.;This is not true. How can you say this about an entire faith?;denouncing
It is incredible what we did in these years. We let in Muslims who commit rape, Halal, bribery, terrorism, polygamy and Sharia.;This is not true. How can you say this about an entire faith?;denouncing
This is our import for the last 30 years: muslim rapists, halal, corruption, terrorism, polygamy, sharia. Why are we doing this?;We also import people from different cultures and backgrounds that enrich our society. You cannot say that all the immigrants are rapists and terrorists.;denouncing
When we welcome Muslims in our country we welcome paedophiles, rapists, halal, corruption, terrorism, polygamy, sharia.;We also import people from different cultures and backgrounds that enrich our society. You cannot say that all the immigrants are rapists and terrorists.;denouncing
It is incredible what we did in these years. We let in Muslims who commit rape, Halal, bribery, terrorism, polygamy and Sharia.;We also import people from different cultures and backgrounds that enrich our society. You cannot say that all the immigrants are rapists and terrorists.;denouncing
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;Given that the vast majority of Muslims live peaceful, normal lives, not fueled by violence, it looks like the problem is in fact with cultures and individual's attitudes.;positive
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;Given that the vast majority of Muslims live peaceful, normal lives, not fueled by violence, it looks like the problem is in fact with cultures and individual's attitudes.;positive
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;Given that the vast majority of Muslims live peaceful, normal lives, not fueled by violence, it looks like the problem is in fact with cultures and individual's attitudes.;positive
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;How many times have you read their main book? There is no blaming other cultures or instructions to violence its a myth, like most false news, lies or a few bits twisted and taken out of context.;facts
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;How many times have you read their main book? There is no blaming other cultures or instructions to violence its a myth, like most false news, lies or a few bits twisted and taken out of context.;facts
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;How many times have you read their main book? There is no blaming other cultures or instructions to violence its a myth, like most false news, lies or a few bits twisted and taken out of context.;facts
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;Stop and search disproportionately targets ethnic minorities, looks to me like institutional racism is fuelling this culture of hate.;denouncing
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;Stop and search disproportionately targets ethnic minorities, looks to me like institutional racism is fuelling this culture of hate.;denouncing
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;Stop and search disproportionately targets ethnic minorities, looks to me like institutional racism is fuelling this culture of hate.;denouncing
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;Err, I think you have got this victim thing down quite well.;denouncing
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;Err, I think you have got this victim thing down quite well.;denouncing
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;Err, I think you have got this victim thing down quite well.;denouncing
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;The far right have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;hypocrisy
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;The far right have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;hypocrisy
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;The far right have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;hypocrisy
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;Violence is actually more common in the Bible than in the Qur'an. (link to Independent article about analysis of both books finding this). That noted, violence exists within and without religion.;facts
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;Violence is actually more common in the Bible than in the Qur'an. (link to Independent article about analysis of both books finding this). That noted, violence exists within and without religion.;facts
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;Violence is actually more common in the Bible than in the Qur'an. (link to Independent article about analysis of both books finding this). That noted, violence exists within and without religion.;facts
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;How have you come to this conclusion?;question
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;How have you come to this conclusion?;question
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;How have you come to this conclusion?;question
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;Maybe hostile, discriminatory comments like this aren't helping.;denouncing
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;Maybe hostile, discriminatory comments like this aren't helping.;denouncing
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;Maybe hostile, discriminatory comments like this aren't helping.;denouncing
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;Individuals have always used religion as an excuse to justify violent acts but it has never been the cause. Islam is no different.;facts
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;Individuals have always used religion as an excuse to justify violent acts but it has never been the cause. Islam is no different.;facts
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;Individuals have always used religion as an excuse to justify violent acts but it has never been the cause. Islam is no different.;facts
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;Playing the victim and blaming other cultures for violence? Sounds like a far-right tactic to me.;hypocrisy
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;Playing the victim and blaming other cultures for violence? Sounds like a far-right tactic to me.;hypocrisy
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;Playing the victim and blaming other cultures for violence? Sounds like a far-right tactic to me.;hypocrisy
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;Or maybe they actually ARE the victims of discrimination and biased negative media coverage spreading false stereotypes.;facts
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;Or maybe they actually ARE the victims of discrimination and biased negative media coverage spreading false stereotypes.;facts
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;Or maybe they actually ARE the victims of discrimination and biased negative media coverage spreading false stereotypes.;facts
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;Violence is apparent in all religious books. Can Christianity be blamed for inciting it in the old testament?;facts
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;Violence is apparent in all religious books. Can Christianity be blamed for inciting it in the old testament?;facts
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;Violence is apparent in all religious books. Can Christianity be blamed for inciting it in the old testament?;facts
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;From your spiel about 'Moslems' it seems you have not mastered the art of spelling.;humor
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;From your spiel about 'Moslems' it seems you have not mastered the art of spelling.;humor
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;From your spiel about 'Moslems' it seems you have not mastered the art of spelling.;humor
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;There are already Muslim groups working to counter extremism, rather than 'playing the victim', they're the ones doing the work.;facts
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;There are already Muslim groups working to counter extremism, rather than 'playing the victim', they're the ones doing the work.;facts
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;There are already Muslim groups working to counter extremism, rather than 'playing the victim', they're the ones doing the work.;facts
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;Studies have shown that CVs submitted under a non Muslim name are three times more likely to be offered an interview than those with a Muslim name attached.;facts
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;Studies have shown that CVs submitted under a non Muslim name are three times more likely to be offered an interview than those with a Muslim name attached.;facts
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;Studies have shown that CVs submitted under a non Muslim name are three times more likely to be offered an interview than those with a Muslim name attached.;facts
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;Muslim's face huge amounts of discrimination and prejudice everyday the evidence is incontrovertible and yet most just keep going and working hard, its not playing the victim.;facts
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;Muslim's face huge amounts of discrimination and prejudice everyday the evidence is incontrovertible and yet most just keep going and working hard, its not playing the victim.;facts
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;Muslim's face huge amounts of discrimination and prejudice everyday the evidence is incontrovertible and yet most just keep going and working hard, its not playing the victim.;facts
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;What is that? Sounds like you are blaming another culture and feeling like a victim.;humor
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;What is that? Sounds like you are blaming another culture and feeling like a victim.;humor
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;What is that? Sounds like you are blaming another culture and feeling like a victim.;humor
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.;Muslims really are the victims of many far-right terrorist and hate-motivated attacks, which are encouraged by conspiracy theories like this. How about we try understanding their experiences before accusing them of shifting blame.;denouncing
Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.;Muslims really are the victims of many far-right terrorist and hate-motivated attacks, which are encouraged by conspiracy theories like this. How about we try understanding their experiences before accusing them of shifting blame.;denouncing
Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.;Muslims really are the victims of many far-right terrorist and hate-motivated attacks, which are encouraged by conspiracy theories like this. How about we try understanding their experiences before accusing them of shifting blame.;denouncing
It is time for us to take Islam for what it is. A murderous cult that should be exterminated, and that is the end of it.;There's more in Islam than death and terror. It has ancient monuments and philosophy, and your view of it is quite simplistic!;denouncing
We do not want to admit that islam isn't a religion, it is only a cult that support murder.;There's more in Islam than death and terror. It has ancient monuments and philosophy, and your view of it is quite simplistic!;denouncing
The time to eliminate Islam has come, because it is a murderous cult.;There's more in Islam than death and terror. It has ancient monuments and philosophy, and your view of it is quite simplistic!;denouncing
It is time for us to take Islam for what it is. A murderous cult that should be exterminated, and that is the end of it.;This feels like a 'Final solution' to me. Are you seriously suggesting the extermination of, what, 5% of the UK population? Get a grip.;denouncing
We do not want to admit that islam isn't a religion, it is only a cult that support murder.;This feels like a 'Final solution' to me. Are you seriously suggesting the extermination of, what, 5% of the UK population? Get a grip.;denouncing
The time to eliminate Islam has come, because it is a murderous cult.;This feels like a 'Final solution' to me. Are you seriously suggesting the extermination of, what, 5% of the UK population? Get a grip.;denouncing
It is time for us to take Islam for what it is. A murderous cult that should be exterminated, and that is the end of it.;Has history taught you nothing about this level of hatred?;denouncing
We do not want to admit that islam isn't a religion, it is only a cult that support murder.;Has history taught you nothing about this level of hatred?;denouncing
The time to eliminate Islam has come, because it is a murderous cult.;Has history taught you nothing about this level of hatred?;denouncing
It is time for us to take Islam for what it is. A murderous cult that should be exterminated, and that is the end of it.;This is not true. How can you say this about an entire faith? Just hatred.;denouncing
We do not want to admit that islam isn't a religion, it is only a cult that support murder.;This is not true. How can you say this about an entire faith? Just hatred.;denouncing
The time to eliminate Islam has come, because it is a murderous cult.;This is not true. How can you say this about an entire faith? Just hatred.;denouncing
It is time for us to take Islam for what it is. A murderous cult that should be exterminated, and that is the end of it.;What Islam truely is is a religion criticizes violence and encourages love among people. Even British people might commit crimes. Extermination is the same action as crime. We should think of a better way to combat crime and hate wordly.;positive
We do not want to admit that islam isn't a religion, it is only a cult that support murder.;What Islam truely is is a religion criticizes violence and encourages love among people. Even British people might commit crimes. Extermination is the same action as crime. We should think of a better way to combat crime and hate wordly.;positive
The time to eliminate Islam has come, because it is a murderous cult.;What Islam truely is is a religion criticizes violence and encourages love among people. Even British people might commit crimes. Extermination is the same action as crime. We should think of a better way to combat crime and hate wordly.;positive
Islam opposes creativity, since all that is needed is the Koran. It is not a religion, but a system of control.;Well, apart from a rich tradition of calligraphy, abstract and geometric art work, architecture, landscape gardening, music, poetry, ceramics, to name a few?;positive
The only purpose of Islam is to control, Muslims must follow the Koran, they cannot do anything else. Islam does not give space to creativity and freedom.;Well, apart from a rich tradition of calligraphy, abstract and geometric art work, architecture, landscape gardening, music, poetry, ceramics, to name a few?;positive
Islam controls people and does not permit anyone to express their imagination. This happens because all that Muslims need is their holy book, the Quran.;Well, apart from a rich tradition of calligraphy, abstract and geometric art work, architecture, landscape gardening, music, poetry, ceramics, to name a few?;positive
Islam opposes creativity, since all that is needed is the Koran. It is not a religion, but a system of control.;Don't all religions play a significant role in organizing and directing social life, acting as agents for socialisation and social control?;facts
The only purpose of Islam is to control, Muslims must follow the Koran, they cannot do anything else. Islam does not give space to creativity and freedom.;Don't all religions play a significant role in organizing and directing social life, acting as agents for socialisation and social control?;facts
Islam controls people and does not permit anyone to express their imagination. This happens because all that Muslims need is their holy book, the Quran.;Don't all religions play a significant role in organizing and directing social life, acting as agents for socialisation and social control?;facts
The myth is that Islam is an alternative culture, but the truth is that it a barbarism, an ideology similar to Nazism.;Do you have knowledge of the history of Islam? Do you know their values for sure (not from social media)? I guess not. Then first become an expert and then judge!;denouncing
Islam is like Nazism, it is a cult. Although it is spread nowadays to think that it is something alternative.;Do you have knowledge of the history of Islam? Do you know their values for sure (not from social media)? I guess not. Then first become an expert and then judge!;denouncing
Islam is thinked to be a different culture, but actually is a cruelty, a group of beliefs similar to Nazism.;Do you have knowledge of the history of Islam? Do you know their values for sure (not from social media)? I guess not. Then first become an expert and then judge!;denouncing
The myth is that Islam is an alternative culture, but the truth is that it a barbarism, an ideology similar to Nazism.;No. A religion of 1.6 billion people is not the same as Nazism and it is ignorant to say so.;denouncing
Islam is like Nazism, it is a cult. Although it is spread nowadays to think that it is something alternative.;No. A religion of 1.6 billion people is not the same as Nazism and it is ignorant to say so.;denouncing
Islam is thinked to be a different culture, but actually is a cruelty, a group of beliefs similar to Nazism.;No. A religion of 1.6 billion people is not the same as Nazism and it is ignorant to say so.;denouncing
The myth is that Islam is an alternative culture, but the truth is that it a barbarism, an ideology similar to Nazism.;That is a very serious charge. Could you share how you form this thought and how you receive this information? The truth is that Islam encourages people care for others and criticizes violence.;positive
Islam is like Nazism, it is a cult. Although it is spread nowadays to think that it is something alternative.;That is a very serious charge. Could you share how you form this thought and how you receive this information? The truth is that Islam encourages people care for others and criticizes violence.;positive
Islam is thinked to be a different culture, but actually is a cruelty, a group of beliefs similar to Nazism.;That is a very serious charge. Could you share how you form this thought and how you receive this information? The truth is that Islam encourages people care for others and criticizes violence.;positive
A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.);Being religious has never stopped anyone from being in public office before. Christians have allegiance to God, is that not the same thing?;hypocrisy
A Muslim is loyal only to Allah (as a comment in relation to election for public office etc.).;Being religious has never stopped anyone from being in public office before. Christians have allegiance to God, is that not the same thing?;hypocrisy
A Muslim is only allied with Allah.;Being religious has never stopped anyone from being in public office before. Christians have allegiance to God, is that not the same thing?;hypocrisy
A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.);No, a person can be religious and have multiple allegiances and responsibilies.;facts
A Muslim is loyal only to Allah (as a comment in relation to election for public office etc.).;No, a person can be religious and have multiple allegiances and responsibilies.;facts
A Muslim is only allied with Allah.;No, a person can be religious and have multiple allegiances and responsibilies.;facts
A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.);But that does not at all undermine their contribution to public good and society, his allegiance is his own business.;facts
A Muslim is loyal only to Allah (as a comment in relation to election for public office etc.).;But that does not at all undermine their contribution to public good and society, his allegiance is his own business.;facts
A Muslim is only allied with Allah.;But that does not at all undermine their contribution to public good and society, his allegiance is his own business.;facts
A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.);Any person of (any) faith would understand that our responsibilities towards tolerance, peace and justice is paramount. If you have a faith I am shocked that you would question it.;hypocrisy
A Muslim is loyal only to Allah (as a comment in relation to election for public office etc.).;Any person of (any) faith would understand that our responsibilities towards tolerance, peace and justice is paramount. If you have a faith I am shocked that you would question it.;hypocrisy
A Muslim is only allied with Allah.;Any person of (any) faith would understand that our responsibilities towards tolerance, peace and justice is paramount. If you have a faith I am shocked that you would question it.;hypocrisy
A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.);Islam shares the same roots as Christianity and Judaism and all are based on love, tolerance and peace, so that is a good thing isn't it.;positive
A Muslim is loyal only to Allah (as a comment in relation to election for public office etc.).;Islam shares the same roots as Christianity and Judaism and all are based on love, tolerance and peace, so that is a good thing isn't it.;positive
A Muslim is only allied with Allah.;Islam shares the same roots as Christianity and Judaism and all are based on love, tolerance and peace, so that is a good thing isn't it.;positive
A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.);So their faith and belief in the teachings of God guides them to a virtuous path of public service. What exactly are you complaining about?;hypocrisy
A Muslim is loyal only to Allah (as a comment in relation to election for public office etc.).;So their faith and belief in the teachings of God guides them to a virtuous path of public service. What exactly are you complaining about?;hypocrisy
A Muslim is only allied with Allah.;So their faith and belief in the teachings of God guides them to a virtuous path of public service. What exactly are you complaining about?;hypocrisy
A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.);So you are saying that we should only allow non-religious people into public office?;question
A Muslim is loyal only to Allah (as a comment in relation to election for public office etc.).;So you are saying that we should only allow non-religious people into public office?;question
A Muslim is only allied with Allah.;So you are saying that we should only allow non-religious people into public office?;question
A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.);We are all doing our best for our country under God.;positive
A Muslim is loyal only to Allah (as a comment in relation to election for public office etc.).;We are all doing our best for our country under God.;positive
A Muslim is only allied with Allah.;We are all doing our best for our country under God.;positive
A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.);Looks like you are suggesting that politicians should not be religious.;hypocrisy
A Muslim is loyal only to Allah (as a comment in relation to election for public office etc.).;Looks like you are suggesting that politicians should not be religious.;hypocrisy
A Muslim is only allied with Allah.;Looks like you are suggesting that politicians should not be religious.;hypocrisy
A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.);Are you suggesting we should not be democratic? Or that public office is not won by merit, hard work and excellence. Perhaps we should try nepotism?;hypocrisy
A Muslim is loyal only to Allah (as a comment in relation to election for public office etc.).;Are you suggesting we should not be democratic? Or that public office is not won by merit, hard work and excellence. Perhaps we should try nepotism?;hypocrisy
A Muslim is only allied with Allah.;Are you suggesting we should not be democratic? Or that public office is not won by merit, hard work and excellence. Perhaps we should try nepotism?;hypocrisy
If they love Sharia law so much, why do not they go off and live in a Muslim country?;If you dislike diversity so much, why do not you go off and live in a country where there are no Muslims, only people like you?;denouncing
Muslims should stay in their country if they want to follow sharia law.;If you dislike diversity so much, why do not you go off and live in a country where there are no Muslims, only people like you?;denouncing
Muslims love the islamic law so much, then why do not they move in islamic countries?;If you dislike diversity so much, why do not you go off and live in a country where there are no Muslims, only people like you?;denouncing
If they love Sharia law so much, why do not they go off and live in a Muslim country?;Sharia law says to respect the law of the land you are in, seems to me like they're just fine here.;positive
Muslims should stay in their country if they want to follow sharia law.;Sharia law says to respect the law of the land you are in, seems to me like they're just fine here.;positive
Muslims love the islamic law so much, then why do not they move in islamic countries?;Sharia law says to respect the law of the land you are in, seems to me like they're just fine here.;positive
If they love Sharia law so much, why do not they go off and live in a Muslim country?;Because many Muslims were born here and have every right to live in this country. Next question please?;facts
Muslims should stay in their country if they want to follow sharia law.;Because many Muslims were born here and have every right to live in this country. Next question please?;facts
Muslims love the islamic law so much, then why do not they move in islamic countries?;Because many Muslims were born here and have every right to live in this country. Next question please?;facts
If they love Sharia law so much, why do not they go off and live in a Muslim country?;"Sharia 'law' does not really correspond to our idea of statutes or judicial precedents; rather";culture
Muslims should stay in their country if they want to follow sharia law.;"Sharia 'law' does not really correspond to our idea of statutes or judicial precedents; rather";culture
Muslims love the islamic law so much, then why do not they move in islamic countries?;"Sharia 'law' does not really correspond to our idea of statutes or judicial precedents; rather";culture
If they love Sharia law so much, why do not they go off and live in a Muslim country?;Can somebody not love their faith and their country (UK)?;question
Muslims should stay in their country if they want to follow sharia law.;Can somebody not love their faith and their country (UK)?;question
Muslims love the islamic law so much, then why do not they move in islamic countries?;Can somebody not love their faith and their country (UK)?;question
Islam is just a moon cult masquerading as a religion.;How can you say such an offensive statement about a religion of 1.6 billion people from all walks of life?;denouncing
Islam pretends to be a religion but in reality it is only a moon cult.;How can you say such an offensive statement about a religion of 1.6 billion people from all walks of life?;denouncing
Islam is just a pagan cult, that disguises itself as a religion.;How can you say such an offensive statement about a religion of 1.6 billion people from all walks of life?;denouncing
Islam is just a moon cult masquerading as a religion.;What does that even mean?;question
Islam pretends to be a religion but in reality it is only a moon cult.;What does that even mean?;question
Islam is just a pagan cult, that disguises itself as a religion.;What does that even mean?;question
Islam is just a moon cult masquerading as a religion.;What makes Islam any less valid than any other religion?;question
Islam pretends to be a religion but in reality it is only a moon cult.;What makes Islam any less valid than any other religion?;question
Islam is just a pagan cult, that disguises itself as a religion.;What makes Islam any less valid than any other religion?;question
Islam is just a moon cult masquerading as a religion.;Mate. Moon cult?? What? Tbh sounds pretty harmless to me.;denouncing
Islam pretends to be a religion but in reality it is only a moon cult.;Mate. Moon cult?? What? Tbh sounds pretty harmless to me.;denouncing
Islam is just a pagan cult, that disguises itself as a religion.;Mate. Moon cult?? What? Tbh sounds pretty harmless to me.;denouncing
Islam is just a moon cult masquerading as a religion.;Sounds like you think they came from the moon. I have to say, I am sceptical.;humor
Islam pretends to be a religion but in reality it is only a moon cult.;Sounds like you think they came from the moon. I have to say, I am sceptical.;humor
Islam is just a pagan cult, that disguises itself as a religion.;Sounds like you think they came from the moon. I have to say, I am sceptical.;humor
Islam is just a moon cult masquerading as a religion.;Pretty impressive 'cult' to have produced 12 Nobel Prize winners.;facts
Islam pretends to be a religion but in reality it is only a moon cult.;Pretty impressive 'cult' to have produced 12 Nobel Prize winners.;facts
Islam is just a pagan cult, that disguises itself as a religion.;Pretty impressive 'cult' to have produced 12 Nobel Prize winners.;facts
Islam is just a moon cult masquerading as a religion.;Yes, a 'moon cult' that has been around for thousands of years, has holy books, formed the basis for many early and modern societies. Sounds a lot like any other real religion to me?;facts
Islam pretends to be a religion but in reality it is only a moon cult.;Yes, a 'moon cult' that has been around for thousands of years, has holy books, formed the basis for many early and modern societies. Sounds a lot like any other real religion to me?;facts
Islam is just a pagan cult, that disguises itself as a religion.;Yes, a 'moon cult' that has been around for thousands of years, has holy books, formed the basis for many early and modern societies. Sounds a lot like any other real religion to me?;facts
Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.;There's league table?;humor
Even if all religions bring death, Islam is the worst one. Islam does not lead to anything but death.;There's league table?;humor
Islam is the most dreadful and brutal religion, because it causes death and despair more than other religions and creates nothing but trouble.;There's league table?;humor
Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.;Before making judgement, do you understand what Islam and its history are?;question
Even if all religions bring death, Islam is the worst one. Islam does not lead to anything but death.;Before making judgement, do you understand what Islam and its history are?;question
Islam is the most dreadful and brutal religion, because it causes death and despair more than other religions and creates nothing but trouble.;Before making judgement, do you understand what Islam and its history are?;question
Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.;Religions also promote arts, sciences, help to develop the community. Islam is not an exception. It is not about death and despair.;facts
Even if all religions bring death, Islam is the worst one. Islam does not lead to anything but death.;Religions also promote arts, sciences, help to develop the community. Islam is not an exception. It is not about death and despair.;facts
